figure_id	Species	Group	PlotGroup	median_value	log_median_value
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	12.7345	1.10498530811228
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	26.7535	1.42738222953256
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	6.76901	0.830531571565843
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	16.06105	1.20577663812657
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	258.07275	2.41174231792864
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	24.33	1.38614389394352
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	1369.05	3.13641934130815
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	32.8127	1.51604329142429
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	10.7636	1.03196158484049
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	11.4728	1.05967320820713
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	18.4521	1.26604815319971
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.71433	0.987417323194468
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	10.473	1.02007525031517
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	91.2814	1.96038276809257
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	15.4535	1.18902966680373
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	42.39485	1.62731412740046
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.212535	0.964383864972995
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	11.4608	1.05921872318865
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	7.28099	0.862196399306205
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	20.3577	1.30873084343464
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	99.6308	1.99839405346638
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	14.5414	1.16260920763186
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	25.23565	1.40201621638182
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	22.3284	1.34885954870494
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	84.4787	1.92674773619021
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	143.971	2.158275322858
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	61.7496	1.79063485199387
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	17.6848	1.24760260842157
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	12.809	1.10751861617989
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	16.4536	1.21626357455931
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	38.1165	1.58111415463437
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	29.78105	1.4739414640344
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.3494	0.97078838594768
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.445995	0.975252308990873
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	16.3609	1.2138098446415
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	45.7517	1.66040818506235
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	42.1244	1.62453475901816
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	36.8666	1.56663426492016
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	35.8841	1.55490326854358
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	73.0477	1.86360714070498
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	86.5552	1.9372936659755
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	7.65402	0.883895266737357
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	29.5998	1.47129024384537
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	6.69161	0.825537111589703
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	96.673	1.98530564526412
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	6.77472	0.830897760941983
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	8.2000725	0.913822988360565
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	7.17251	0.855677217360934
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	18.2568	1.26142703676955
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	45.8246	1.66109963045322
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	17.024	1.23106416167937
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	31.11695	1.49299841770553
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	17.75	1.2492008041137
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	10.83	1.03463246671283
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	84.8493	1.92864877561527
