ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0140318	protein transporter activity	1/30	33/28366	0.030303030303030304	28.652525252525255	5.171639407865196	0.03433580404308867	0.09900319532447294	0.05806202432563076	Timm29	1
GO:0030515	snoRNA binding	1/30	34/28366	0.029411764705882353	27.809803921568626	5.089524731222536	0.035358284044454624	0.09900319532447294	0.05806202432563076	Bysl	1
GO:0016251	RNA polymerase II general transcription initiation factor activity	1/30	37/28366	0.02702702702702703	25.554954954954955	4.863032040804849	0.03841944865937419	0.1025533731703008	0.0601440835134095	Taf7	1
GO:0015036	disulfide oxidoreductase activity	1/30	40/28366	0.025	23.638333333333335	4.661917352156415	0.041471221881051346	0.1025533731703008	0.0601440835134095	Txn1	1
GO:0061791	GTPase motor activity	1/30	41/28366	0.024390243902439025	23.06178861788618	4.599709854188534	0.04248639745626748	0.1025533731703008	0.0601440835134095	Rab10	1
GO:1990606	membrane scission GTPase motor activity	1/30	41/28366	0.024390243902439025	23.06178861788618	4.599709854188534	0.04248639745626748	0.1025533731703008	0.0601440835134095	Rab10	1
GO:0140463	chromatin-protein adaptor activity	1/30	45/28366	0.022222222222222223	21.011851851851855	4.371414549463625	0.046536716349461216	0.10736352821169189	0.06296507669557871	Taf7	1
GO:0140223	general transcription initiation factor activity	1/30	46/28366	0.021739130434782608	20.555072463768116	4.3189131453589535	0.047546705350892116	0.10736352821169189	0.06296507669557871	Taf7	1
GO:0005048	signal sequence binding	1/30	52/28366	0.019230769230769232	18.183333333333334	4.035443045478257	0.05358495607287184	0.11644701563622836	0.06829223473402868	Nrarp	1
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	1/30	54/28366	0.018518518518518517	17.509876543209877	3.9512834025396635	0.055589470491762216	0.11644701563622836	0.06829223473402868	Txn1	1
GO:0003925	G protein activity	1/30	57/28366	0.017543859649122806	16.588304093567253	3.833158542105518	0.05858854900461319	0.11644701563622836	0.06829223473402868	Rab10	1
GO:0070888	E-box binding	1/30	59/28366	0.01694915254237288	16.025988700564973	3.759281873886509	0.060582817764413655	0.11644701563622836	0.06829223473402868	Snai1	1
GO:0140296	general transcription initiation factor binding	1/30	60/28366	0.016666666666666666	15.758888888888889	3.7236837250158232	0.061578420105427134	0.11644701563622836	0.06829223473402868	Taf7	1
GO:0008173	RNA methyltransferase activity	1/30	63/28366	0.015873015873015872	15.008465608465608	3.621824120239123	0.06455911108984791	0.11644701563622836	0.06829223473402868	Mrm2	1
