big_category	final_label	count	percentage	Type	pipeline	figure_id	panel_id	record_type	metric	sirv	tusco
NA	NA	NA	NA	NA	WTC11_cdna_ont_ls	fig-3	3a-human	radar_metrics	1/red	98.76543209876544	75
NA	NA	NA	NA	NA	WTC11_cdna_ont_ls	fig-3	3a-human	radar_metrics	1-FDR	72.38095238095238	48.88888888888889
NA	NA	NA	NA	NA	WTC11_cdna_ont_ls	fig-3	3a-human	radar_metrics	PDR	95.23809523809523	68.75
NA	NA	NA	NA	NA	WTC11_cdna_ont_ls	fig-3	3a-human	radar_metrics	rPre	77.14285714285715	100
NA	NA	NA	NA	NA	WTC11_cdna_pacbio_ls	fig-3	3a-human	radar_metrics	Sn	100	83.33333333333334
NA	NA	NA	NA	NA	WTC11_cdna_pacbio_ls	fig-3	3a-human	radar_metrics	nrPre	98.82352941176471	97.72727272727273
NA	NA	NA	NA	NA	WTC11_cdna_pacbio_ls	fig-3	3a-human	radar_metrics	1/red	100	93.02325581395348
NA	NA	NA	NA	NA	WTC11_cdna_pacbio_ls	fig-3	3a-human	radar_metrics	1-FDR	98.82352941176471	97.72727272727273
NA	NA	NA	NA	NA	WTC11_cdna_pacbio_ls	fig-3	3a-human	radar_metrics	PDR	100	83.33333333333334
NA	NA	NA	NA	NA	WTC11_cdna_pacbio_ls	fig-3	3a-human	radar_metrics	rPre	98.82352941176471	100
