big_category	final_label	count	percentage	Type	pipeline	figure_id	panel_id	record_type	metric	sirv	tusco
NA	NA	NA	NA	NA	WTC11_drna_ont_ls	fig-3	3a-human	radar_metrics	1/red	100	91.66666666666667
NA	NA	NA	NA	NA	WTC11_drna_ont_ls	fig-3	3a-human	radar_metrics	1-FDR	97.40259740259741	89.58333333333333
NA	NA	NA	NA	NA	WTC11_drna_ont_ls	fig-3	3a-human	radar_metrics	PDR	89.28571428571429	75.86206896551724
NA	NA	NA	NA	NA	WTC11_drna_ont_ls	fig-3	3a-human	radar_metrics	rPre	97.40259740259741	100
NA	NA	NA	NA	NA	WTC11_cdna_ont_ls	fig-3	3a-human	radar_metrics	Sn	90.47619047619048	44.827586206896555
NA	NA	NA	NA	NA	WTC11_cdna_ont_ls	fig-3	3a-human	radar_metrics	nrPre	72.38095238095238	50.847457627118644
NA	NA	NA	NA	NA	WTC11_cdna_ont_ls	fig-3	3a-human	radar_metrics	1/red	98.76543209876544	72.41379310344827
NA	NA	NA	NA	NA	WTC11_cdna_ont_ls	fig-3	3a-human	radar_metrics	1-FDR	72.38095238095238	50.847457627118644
NA	NA	NA	NA	NA	WTC11_cdna_ont_ls	fig-3	3a-human	radar_metrics	PDR	95.23809523809523	72.41379310344827
NA	NA	NA	NA	NA	WTC11_cdna_ont_ls	fig-3	3a-human	radar_metrics	rPre	77.14285714285715	88.13559322033898
NA	NA	NA	NA	NA	WTC11_cdna_pacbio_ls	fig-3	3a-human	radar_metrics	Sn	100	84.48275862068965
NA	NA	NA	NA	NA	WTC11_cdna_pacbio_ls	fig-3	3a-human	radar_metrics	nrPre	98.82352941176471	91.52542372881356
NA	NA	NA	NA	NA	WTC11_cdna_pacbio_ls	fig-3	3a-human	radar_metrics	1/red	100	89.47368421052632
NA	NA	NA	NA	NA	WTC11_cdna_pacbio_ls	fig-3	3a-human	radar_metrics	1-FDR	98.82352941176471	91.52542372881356
NA	NA	NA	NA	NA	WTC11_cdna_pacbio_ls	fig-3	3a-human	radar_metrics	PDR	100	87.93103448275862
NA	NA	NA	NA	NA	WTC11_cdna_pacbio_ls	fig-3	3a-human	radar_metrics	rPre	98.82352941176471	94.91525423728814
