big_category	final_label	count	percentage	Type	pipeline	figure_id	panel_id	record_type	metric	sirv	tusco
NA	NA	NA	NA	NA	es_drna_ont_ls	fig-3	3a-mouse	radar_metrics	1-FDR	97.43589743589743	80.76923076923077
NA	NA	NA	NA	NA	es_drna_ont_ls	fig-3	3a-mouse	radar_metrics	PDR	90.47619047619048	67.64705882352942
NA	NA	NA	NA	NA	es_drna_ont_ls	fig-3	3a-mouse	radar_metrics	rPre	97.43589743589743	96.15384615384616
NA	NA	NA	NA	NA	es_cdna_ont_ls	fig-3	3a-mouse	radar_metrics	Sn	89.28571428571429	58.82352941176471
NA	NA	NA	NA	NA	es_cdna_ont_ls	fig-3	3a-mouse	radar_metrics	nrPre	81.52173913043478	65.71428571428571
NA	NA	NA	NA	NA	es_cdna_ont_ls	fig-3	3a-mouse	radar_metrics	1/red	100	70
NA	NA	NA	NA	NA	es_cdna_ont_ls	fig-3	3a-mouse	radar_metrics	1-FDR	81.52173913043478	65.71428571428572
NA	NA	NA	NA	NA	es_cdna_ont_ls	fig-3	3a-mouse	radar_metrics	PDR	94.04761904761905	61.76470588235294
NA	NA	NA	NA	NA	es_cdna_ont_ls	fig-3	3a-mouse	radar_metrics	rPre	85.86956521739131	71.42857142857143
NA	NA	NA	NA	NA	es_cdna_pacbio_ls	fig-3	3a-mouse	radar_metrics	Sn	100	85.29411764705883
NA	NA	NA	NA	NA	es_cdna_pacbio_ls	fig-3	3a-mouse	radar_metrics	nrPre	100	87.17948717948718
NA	NA	NA	NA	NA	es_cdna_pacbio_ls	fig-3	3a-mouse	radar_metrics	1/red	100	83.33333333333334
NA	NA	NA	NA	NA	es_cdna_pacbio_ls	fig-3	3a-mouse	radar_metrics	1-FDR	100	87.17948717948718
NA	NA	NA	NA	NA	es_cdna_pacbio_ls	fig-3	3a-mouse	radar_metrics	PDR	100	88.23529411764706
NA	NA	NA	NA	NA	es_cdna_pacbio_ls	fig-3	3a-mouse	radar_metrics	rPre	100	89.74358974358975
