Tissue	Samples	Combo	Metric	Value	SamplesLabel	figure_id	panel_id	dataset	N	Mean	SD	SE	CI_lower	CI_upper
Brain	2	B31_B33	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	PDR	79.71014492753623	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	F1	88.70967741935483	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	Sensitivity	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	PDR	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	F1	90.47619047619048	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	Sensitivity	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	PDR	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	F1	90.47619047619048	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	Sensitivity	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	PDR	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	F1	90.47619047619048	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	Sensitivity	85.5072463768116	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	PDR	85.5072463768116	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	F1	92.1875	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	Sensitivity	85.5072463768116	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	PDR	85.5072463768116	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	F1	92.1875	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	Sensitivity	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	PDR	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	F1	90.47619047619048	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	Sensitivity	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	PDR	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	F1	90.47619047619048	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	Sensitivity	85.5072463768116	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	PDR	85.5072463768116	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	F1	92.1875	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B34	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B34	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B34	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B34	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B34	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B34	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B35	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B35	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B35	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B35	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B35	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B35	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B34_B35	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B34_B35	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B34_B35	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B34_B35	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B34_B35	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B34_B35	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B33_B34_B35	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B33_B34_B35	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B33_B34_B35	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B33_B34_B35	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B33_B34_B35	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B33_B34_B35	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B33_B34	Sensitivity	85.5072463768116	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B33_B34	Non-redundant Precision	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B33_B34	Inv. Redundancy	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B33_B34	1 - FDR	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B33_B34	PDR	85.5072463768116	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B33_B34	F1	92.1875	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B33_B35	Sensitivity	85.5072463768116	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B33_B35	Non-redundant Precision	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B33_B35	Inv. Redundancy	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B33_B35	1 - FDR	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B33_B35	PDR	85.5072463768116	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B33_B35	F1	92.1875	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B34_B35	Sensitivity	85.5072463768116	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B34_B35	Non-redundant Precision	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B34_B35	Inv. Redundancy	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B34_B35	1 - FDR	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B34_B35	PDR	85.5072463768116	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B32_B34_B35	F1	92.1875	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B33_B34_B35	Sensitivity	85.5072463768116	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B33_B34_B35	Non-redundant Precision	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B33_B34_B35	Inv. Redundancy	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B33_B34_B35	1 - FDR	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B33_B34_B35	PDR	85.5072463768116	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B31_B33_B34_B35	F1	92.1875	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B32_B33_B34_B35	Sensitivity	85.5072463768116	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B32_B33_B34_B35	Non-redundant Precision	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B32_B33_B34_B35	Inv. Redundancy	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B32_B33_B34_B35	1 - FDR	100	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B32_B33_B34_B35	PDR	85.5072463768116	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	4	B32_B33_B34_B35	F1	92.1875	4	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	5	B31_B32_B33_B34_B35	Sensitivity	85.5072463768116	5	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	5	B31_B32_B33_B34_B35	Non-redundant Precision	100	5	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	5	B31_B32_B33_B34_B35	Inv. Redundancy	100	5	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	5	B31_B32_B33_B34_B35	1 - FDR	100	5	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	5	B31_B32_B33_B34_B35	PDR	85.5072463768116	5	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	5	B31_B32_B33_B34_B35	F1	92.1875	5	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K31.isoforms	Sensitivity	88.40579710144928	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K31.isoforms	Non-redundant Precision	98.38709677419357	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K31.isoforms	Inv. Redundancy	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K31.isoforms	1 - FDR	98.38709677419357	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K31.isoforms	PDR	88.40579710144928	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K31.isoforms	F1	93.12977099236642	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K32.isoforms	Sensitivity	81.15942028985508	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K32.isoforms	Non-redundant Precision	98.24561403508773	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K32.isoforms	Inv. Redundancy	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K32.isoforms	1 - FDR	98.24561403508773	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K32.isoforms	PDR	81.15942028985508	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K32.isoforms	F1	88.8888888888889	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K33.isoforms	Sensitivity	84.05797101449275	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K33.isoforms	Non-redundant Precision	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K33.isoforms	Inv. Redundancy	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K33.isoforms	1 - FDR	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K33.isoforms	PDR	84.05797101449275	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K33.isoforms	F1	91.33858267716536	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K34.isoforms	Sensitivity	84.05797101449275	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K34.isoforms	Non-redundant Precision	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K34.isoforms	Inv. Redundancy	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K34.isoforms	1 - FDR	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K34.isoforms	PDR	84.05797101449275	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K34.isoforms	F1	91.33858267716536	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K35.isoforms	Sensitivity	85.5072463768116	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K35.isoforms	Non-redundant Precision	98.33333333333331	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K35.isoforms	Inv. Redundancy	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K35.isoforms	1 - FDR	98.33333333333331	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K35.isoforms	PDR	85.5072463768116	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	1	K35.isoforms	F1	91.47286821705428	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	2	K31_K32	Sensitivity	78.26086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	2	K31_K32	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	2	K31_K32	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	2	K31_K32	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	2	K31_K32	PDR	78.26086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Kidney	2	K31_K32	F1	87.8048780487805	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
